"","Dominant","Rare","Subordinate"
"abisko.se",2,12,7
"amcamp.us",2,16,9
"anti.ec",4,39,23
"arch.us",3,30,17
"azi.cn",4,39,22
"badlau.de",3,27,16
"bari.ar",2,20,12
"barta.us",3,25,14
"bayr.de",3,32,18
"bldr.us",1,11,6
"bnch.us",2,17,10
"bogong.au",2,20,11
"bttr.us",4,36,21
"bunya.au",1,10,6
"burrawan.au",2,18,10
"burren.ie",4,37,21
"cbgb.us",3,29,17
"cdcr.us",3,34,20
"cdpt.us",3,31,18
"cereep.fr",3,24,14
"chilcas.ar",3,32,21
"comp.pt",3,26,15
"cowi.ca",1,9,7
"derr.au",1,9,6
"doane.us",2,17,10
"elkh.us",2,13,7
"elliot.us",2,15,9
"elva.ee",3,30,18
"ethamc.au",1,2,0
"ethass.au",1,3,2
"fnly.us",4,38,23
"frue.ch",2,16,9
"gall.it",3,32,18
"gilb.za",4,39,22
"glac.us",1,10,6
"glcr.us",1,11,7
"hall.us",2,12,7
"hart.us",2,17,10
"hast.us",2,19,11
"hero.uk",2,21,13
"hnvr.us",2,21,13
"hopl.us",3,25,14
"jasp.us",2,20,12
"jena.de",3,26,15
"jorn.us",2,21,12
"kark.se",2,22,13
"kbs.us",3,28,17
"kibber.in",1,10,6
"kidman.au",1,11,8
"kilp.fi",3,31,18
"kiny.au",3,23,15
"kirik.ee",5,50,28
"koffler.ca",2,13,7
"konz.us",3,32,18
"konzn1b.us",4,41,23
"lake.us",3,32,20
"lakta.se",2,18,10
"lancaster.uk",1,9,6
"lead.us",1,8,4
"look.us",2,16,10
"marc.ar",2,14,8
"mcla.us",1,8,5
"mitch.au",1,10,6
"msla.us",3,27,15
"mtca.au",3,28,16
"nilla.au",2,13,7
"niwo.us",3,26,15
"pape.de",1,4,2
"pich.ec",4,39,22
"ping.au",2,12,7
"pinj.au",2,14,11
"podo.ec",4,39,23
"potrok.ar",2,19,12
"rook.uk",2,12,7
"sage.us",2,21,13
"sava.us",3,30,18
"sedg.us",1,11,7
"sereng.tz",3,27,16
"sevi.us",2,18,10
"sgs.us",2,12,7
"shps.us",3,30,18
"sier.us",2,21,12
"smith.us",3,26,14
"spin.us",1,9,5
"spv.ar",1,11,7
"summ.za",5,55,34
"sval.no",1,9,5
"temple.us",3,32,18
"trel.us",1,7,4
"tyso.us",2,19,11
"ucsc.us",1,10,6
"ufrec.us",1,0,0
"ukul.za",5,55,33
"unc.us",2,22,13
"uwo.ca",2,20,11
"valm.ch",5,49,30
"vass.se",3,24,14
"yarra.au",1,12,7
