"","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Bogong",0,0,3,3,3,3,3,3,3,3,3
"Boulder South Campus",0,2,2,2,2,2,2,0,0,0,0
"Bunchgrass (Andrews LTER)",3,3,2,3,3,3,3,3,3,3,3
"Burrawan",0,3,3,3,3,3,3,3,3,0,0
"Cedar Creek LTER",5,5,5,5,5,5,5,5,5,5,5
"Cedar Point Biological Station",6,6,6,6,6,6,6,6,6,6,0
"CEREEP - Ecotron IDF",0,0,0,0,0,3,3,3,3,3,3
"Chichaqua Bottoms",0,0,6,6,6,6,6,6,6,6,0
"Companhia das Lezirias",0,0,0,0,0,3,3,3,3,3,0
"Cowichan",3,3,3,3,3,3,3,3,3,0,0
"Doane College Spring Creek Prairie",0,0,0,0,0,2,2,2,2,2,2
"Duke Forest",3,3,3,3,3,0,0,0,0,0,0
"Elliott Chaparral",0,0,3,3,3,3,3,2,3,3,0
"Fruebuel",0,3,3,3,3,3,3,0,3,0,0
"Hall's Prairie",3,3,3,3,3,3,3,3,0,0,0
"Hart Mountain",3,3,3,3,3,3,0,0,0,0,0
"Heronsbrook (Silwood Park)",0,3,3,3,3,3,0,0,0,0,0
"Hopland REC",3,3,3,3,3,3,3,3,3,3,3
"Kinypanial",0,0,3,3,3,3,3,3,3,0,0
"Koffler Scientific Reserve at Joker's Hill",0,0,0,9,9,9,9,9,9,9,9
"Konza LTER",3,3,3,3,3,3,0,3,3,0,0
"Lancaster",0,3,3,3,3,0,0,3,3,3,0
"Lookout (Andrews LTER)",3,2,3,3,3,3,3,3,3,3,3
"Mar Chiquita",0,0,0,0,3,3,3,3,3,3,0
"Mclaughlin UCNRS",3,3,3,3,3,3,3,3,3,3,3
"Mt. Caroline",0,4,4,4,4,4,4,4,4,4,0
"Papenburg",1,1,1,1,1,1,1,0,0,0,0
"Rookery (Silwood Park)",0,3,3,3,3,3,0,0,0,0,0
"Sagehen Creek UCNRS",3,3,3,3,3,3,3,0,0,0,0
"Saline Experimental Range",0,3,3,3,3,3,3,3,3,0,0
"Savannah River",2,2,2,2,2,2,0,0,0,0,0
"Sedgwick Reserve UCNRS",6,6,6,6,6,6,6,6,6,6,6
"Serengeti",0,3,3,3,3,3,0,0,0,0,0
"Sevilleta LTER",5,5,5,5,5,5,5,5,0,0,0
"Sheep Experimental Station",4,4,4,4,4,4,0,0,0,4,0
"Shortgrass Steppe LTER",3,3,3,3,3,3,3,3,3,3,0
"Sierra Foothills REC",3,5,5,5,5,5,5,5,5,5,5
"Smith Prairie",3,3,3,3,3,3,0,0,3,0,0
"Spindletop",3,3,3,3,3,3,3,3,3,3,3
"Temple",4,4,4,4,4,4,4,4,4,4,0
"Trelease",0,0,3,3,3,3,3,0,0,0,0
"Ukulinga",0,0,6,6,6,6,6,6,6,6,0
"Val Mustair",0,3,3,3,3,3,3,3,3,3,0
